alert_id,priority,severity,root_cause,corroboration_sources,alert_explanation,generated_at
active_alerts::DUR_SHIFT_OTHERS_OLD_AIRPORT_ROAD,P2,critical,dur_shift::others_old_airport_road (affected=Layer4.5),active_alerts;retrain_triggers,P2 critical alert on topic 'dur_shift::others_old_airport_road' affecting Layer4.5. Corroborated by 2 source(s): active_alerts;retrain_triggers. Severity = base 0.90 x corroboration 1.30 x recency 0.53 = ASS 0.431. Priority justified by ASS band.,2026-06-20T01:47:21.593060+00:00
active_alerts::DUR_SHIFT_OTHERS_OLD_MADRAS_ROAD,P2,critical,dur_shift::others_old_madras_road (affected=Layer4.5),active_alerts;retrain_triggers,P2 critical alert on topic 'dur_shift::others_old_madras_road' affecting Layer4.5. Corroborated by 2 source(s): active_alerts;retrain_triggers. Severity = base 0.90 x corroboration 1.30 x recency 0.53 = ASS 0.431. Priority justified by ASS band.,2026-06-20T01:47:21.593060+00:00
active_alerts::DUR_SHIFT_POT_HOLES_CBD_1,P2,critical,dur_shift::pot_holes_cbd_1 (affected=Layer4.5),active_alerts;retrain_triggers,P2 critical alert on topic 'dur_shift::pot_holes_cbd_1' affecting Layer4.5. Corroborated by 2 source(s): active_alerts;retrain_triggers. Severity = base 0.90 x corroboration 1.30 x recency 0.53 = ASS 0.431. Priority justified by ASS band.,2026-06-20T01:47:21.593060+00:00
active_alerts::DUR_SHIFT_POT_HOLES_CBD_2,P2,critical,dur_shift::pot_holes_cbd_2 (affected=Layer4.5),active_alerts;retrain_triggers,P2 critical alert on topic 'dur_shift::pot_holes_cbd_2' affecting Layer4.5. Corroborated by 2 source(s): active_alerts;retrain_triggers. Severity = base 0.90 x corroboration 1.30 x recency 0.53 = ASS 0.431. Priority justified by ASS band.,2026-06-20T01:47:21.593060+00:00
retrain_triggers::DUR_SHIFT_CONSTRUCTION_ORR_EAST_1,P2,critical,dur_shift::construction_orr_east_1 (affected=Layer4.5),active_alerts;retrain_triggers,P2 critical alert on topic 'dur_shift::construction_orr_east_1' affecting Layer4.5. Corroborated by 2 source(s): active_alerts;retrain_triggers. Severity = base 0.90 x corroboration 1.30 x recency 0.53 = ASS 0.431. Priority justified by ASS band.,2026-06-20T01:47:21.593060+00:00
retrain_triggers::DUR_SHIFT_OTHERS_OLD_AIRPORT_ROAD,P2,critical,dur_shift::others_old_airport_road (affected=Layer4.5),active_alerts;retrain_triggers,P2 critical alert on topic 'dur_shift::others_old_airport_road' affecting Layer4.5. Corroborated by 2 source(s): active_alerts;retrain_triggers. Severity = base 0.90 x corroboration 1.30 x recency 0.53 = ASS 0.431. Priority justified by ASS band.,2026-06-20T01:47:21.593060+00:00
retrain_triggers::DUR_SHIFT_OTHERS_OLD_MADRAS_ROAD,P2,critical,dur_shift::others_old_madras_road (affected=Layer4.5),active_alerts;retrain_triggers,P2 critical alert on topic 'dur_shift::others_old_madras_road' affecting Layer4.5. Corroborated by 2 source(s): active_alerts;retrain_triggers. Severity = base 0.90 x corroboration 1.30 x recency 0.53 = ASS 0.431. Priority justified by ASS band.,2026-06-20T01:47:21.593060+00:00
retrain_triggers::DUR_SHIFT_POT_HOLES_CBD_1,P2,critical,dur_shift::pot_holes_cbd_1 (affected=Layer4.5),active_alerts;retrain_triggers,P2 critical alert on topic 'dur_shift::pot_holes_cbd_1' affecting Layer4.5. Corroborated by 2 source(s): active_alerts;retrain_triggers. Severity = base 0.90 x corroboration 1.30 x recency 0.53 = ASS 0.431. Priority justified by ASS band.,2026-06-20T01:47:21.593060+00:00
retrain_triggers::DUR_SHIFT_POT_HOLES_CBD_2,P2,critical,dur_shift::pot_holes_cbd_2 (affected=Layer4.5),active_alerts;retrain_triggers,P2 critical alert on topic 'dur_shift::pot_holes_cbd_2' affecting Layer4.5. Corroborated by 2 source(s): active_alerts;retrain_triggers. Severity = base 0.90 x corroboration 1.30 x recency 0.53 = ASS 0.431. Priority justified by ASS band.,2026-06-20T01:47:21.593060+00:00
drift_report::DRIFT_PSI_HOUR_LOCAL,P2,moderate,layer4.5::hour_local (affected=Layer4.5),active_alerts;drift_report;retrain_triggers,P2 moderate alert on topic 'layer4.5::hour_local' affecting Layer4.5. Corroborated by 3 source(s): active_alerts;drift_report;retrain_triggers. Severity = base 0.65 x corroboration 1.45 x recency 0.61 = ASS 0.398. Priority justified by ASS band.,2026-06-20T01:47:21.593060+00:00
active_alerts::HEALTH_N_CRITICAL_TRIGGERS,P2,critical,retrain_triggers::general (affected=retrain_triggers),active_alerts,P2 critical alert on topic 'retrain_triggers::general' affecting retrain_triggers. Corroborated by 1 source(s): active_alerts. Severity = base 0.90 x corroboration 1.15 x recency 0.53 = ASS 0.381. Priority justified by ASS band.,2026-06-20T01:47:21.593060+00:00
active_alerts::L5_CHANCE_CONSTRAINT_VIOLATION,P2,critical,layer5::general (affected=Layer5),active_alerts,P2 critical alert on topic 'layer5::general' affecting Layer5. Corroborated by 1 source(s): active_alerts. Severity = base 0.90 x corroboration 1.15 x recency 0.53 = ASS 0.381. Priority justified by ASS band.,2026-06-20T01:47:21.593060+00:00
retrain_triggers::L5_CHANCE_CONSTRAINT_VIOLATION,P2,critical,layer5::chance_constraint_satisfaction (affected=Layer5),retrain_triggers,P2 critical alert on topic 'layer5::chance_constraint_satisfaction' affecting Layer5. Corroborated by 1 source(s): retrain_triggers. Severity = base 0.90 x corroboration 1.15 x recency 0.53 = ASS 0.381. Priority justified by ASS band.,2026-06-20T01:47:21.593060+00:00
active_alerts::DRIFT_PSI_HOUR_LOCAL,P2,moderate,layer4.5::hour_local (affected=Layer4.5),active_alerts;drift_report;retrain_triggers,P2 moderate alert on topic 'layer4.5::hour_local' affecting Layer4.5. Corroborated by 3 source(s): active_alerts;drift_report;retrain_triggers. Severity = base 0.65 x corroboration 1.45 x recency 0.53 = ASS 0.347. Priority justified by ASS band.,2026-06-20T01:47:21.593060+00:00
retrain_triggers::DRIFT_PSI_HOUR_LOCAL,P2,moderate,layer4.5::hour_local (affected=Layer4.5),active_alerts;drift_report;retrain_triggers,P2 moderate alert on topic 'layer4.5::hour_local' affecting Layer4.5. Corroborated by 3 source(s): active_alerts;drift_report;retrain_triggers. Severity = base 0.65 x corroboration 1.45 x recency 0.53 = ASS 0.347. Priority justified by ASS band.,2026-06-20T01:47:21.593060+00:00
active_alerts::DUR_SHIFT_ACCIDENT_BELLARY_ROAD_2,P3,moderate,dur_shift::accident_bellary_road_2 (affected=Layer4.5),active_alerts;retrain_triggers,P3 moderate alert on topic 'dur_shift::accident_bellary_road_2' affecting Layer4.5. Corroborated by 2 source(s): active_alerts;retrain_triggers. Severity = base 0.65 x corroboration 1.30 x recency 0.53 = ASS 0.311. Priority justified by ASS band.,2026-06-20T01:47:21.593060+00:00
active_alerts::DUR_SHIFT_CONGESTION_HENNUR_MAIN_ROAD,P3,moderate,dur_shift::congestion_hennur_main_road (affected=Layer4.5),active_alerts;retrain_triggers,P3 moderate alert on topic 'dur_shift::congestion_hennur_main_road' affecting Layer4.5. Corroborated by 2 source(s): active_alerts;retrain_triggers. Severity = base 0.65 x corroboration 1.30 x recency 0.53 = ASS 0.311. Priority justified by ASS band.,2026-06-20T01:47:21.593060+00:00
active_alerts::DUR_SHIFT_CONSTRUCTION_BELLARY_ROAD_1,P3,moderate,dur_shift::construction_bellary_road_1 (affected=Layer4.5),active_alerts;retrain_triggers,P3 moderate alert on topic 'dur_shift::construction_bellary_road_1' affecting Layer4.5. Corroborated by 2 source(s): active_alerts;retrain_triggers. Severity = base 0.65 x corroboration 1.30 x recency 0.53 = ASS 0.311. Priority justified by ASS band.,2026-06-20T01:47:21.593060+00:00
active_alerts::DUR_SHIFT_CONSTRUCTION_ORR_WEST_1,P3,moderate,dur_shift::construction_orr_west_1 (affected=Layer4.5),active_alerts;retrain_triggers,P3 moderate alert on topic 'dur_shift::construction_orr_west_1' affecting Layer4.5. Corroborated by 2 source(s): active_alerts;retrain_triggers. Severity = base 0.65 x corroboration 1.30 x recency 0.53 = ASS 0.311. Priority justified by ASS band.,2026-06-20T01:47:21.593060+00:00
active_alerts::DUR_SHIFT_CONSTRUCTION_WEST_OF_CHORD_ROAD,P3,moderate,dur_shift::construction_west_of_chord_road (affected=Layer4.5),active_alerts;retrain_triggers,P3 moderate alert on topic 'dur_shift::construction_west_of_chord_road' affecting Layer4.5. Corroborated by 2 source(s): active_alerts;retrain_triggers. Severity = base 0.65 x corroboration 1.30 x recency 0.53 = ASS 0.311. Priority justified by ASS band.,2026-06-20T01:47:21.593060+00:00
active_alerts::DUR_SHIFT_OTHERS_ORR_NORTH_1,P3,moderate,dur_shift::others_orr_north_1 (affected=Layer4.5),active_alerts;retrain_triggers,P3 moderate alert on topic 'dur_shift::others_orr_north_1' affecting Layer4.5. Corroborated by 2 source(s): active_alerts;retrain_triggers. Severity = base 0.65 x corroboration 1.30 x recency 0.53 = ASS 0.311. Priority justified by ASS band.,2026-06-20T01:47:21.593060+00:00
active_alerts::DUR_SHIFT_POT_HOLES_OLD_MADRAS_ROAD,P3,moderate,dur_shift::pot_holes_old_madras_road (affected=Layer4.5),active_alerts;retrain_triggers,P3 moderate alert on topic 'dur_shift::pot_holes_old_madras_road' affecting Layer4.5. Corroborated by 2 source(s): active_alerts;retrain_triggers. Severity = base 0.65 x corroboration 1.30 x recency 0.53 = ASS 0.311. Priority justified by ASS band.,2026-06-20T01:47:21.593060+00:00
active_alerts::DUR_SHIFT_POT_HOLES_ORR_NORTH_1,P3,moderate,dur_shift::pot_holes_orr_north_1 (affected=Layer4.5),active_alerts;retrain_triggers,P3 moderate alert on topic 'dur_shift::pot_holes_orr_north_1' affecting Layer4.5. Corroborated by 2 source(s): active_alerts;retrain_triggers. Severity = base 0.65 x corroboration 1.30 x recency 0.53 = ASS 0.311. Priority justified by ASS band.,2026-06-20T01:47:21.593060+00:00
active_alerts::DUR_SHIFT_POT_HOLES_ORR_WEST_1,P3,moderate,dur_shift::pot_holes_orr_west_1 (affected=Layer4.5),active_alerts;retrain_triggers,P3 moderate alert on topic 'dur_shift::pot_holes_orr_west_1' affecting Layer4.5. Corroborated by 2 source(s): active_alerts;retrain_triggers. Severity = base 0.65 x corroboration 1.30 x recency 0.53 = ASS 0.311. Priority justified by ASS band.,2026-06-20T01:47:21.593060+00:00
active_alerts::DUR_SHIFT_PUBLIC_EVENT_MYSORE_ROAD,P3,moderate,dur_shift::public_event_mysore_road (affected=Layer4.5),active_alerts;retrain_triggers,P3 moderate alert on topic 'dur_shift::public_event_mysore_road' affecting Layer4.5. Corroborated by 2 source(s): active_alerts;retrain_triggers. Severity = base 0.65 x corroboration 1.30 x recency 0.53 = ASS 0.311. Priority justified by ASS band.,2026-06-20T01:47:21.593060+00:00
active_alerts::DUR_SHIFT_PUBLIC_EVENT_NON-CORRIDOR,P3,moderate,dur_shift::public_event_non-corridor (affected=Layer4.5),active_alerts;retrain_triggers,P3 moderate alert on topic 'dur_shift::public_event_non-corridor' affecting Layer4.5. Corroborated by 2 source(s): active_alerts;retrain_triggers. Severity = base 0.65 x corroboration 1.30 x recency 0.53 = ASS 0.311. Priority justified by ASS band.,2026-06-20T01:47:21.593060+00:00
active_alerts::DUR_SHIFT_ROAD_CONDITIONS_ORR_WEST_1,P3,moderate,dur_shift::road_conditions_orr_west_1 (affected=Layer4.5),active_alerts;retrain_triggers,P3 moderate alert on topic 'dur_shift::road_conditions_orr_west_1' affecting Layer4.5. Corroborated by 2 source(s): active_alerts;retrain_triggers. Severity = base 0.65 x corroboration 1.30 x recency 0.53 = ASS 0.311. Priority justified by ASS band.,2026-06-20T01:47:21.593060+00:00
active_alerts::DUR_SHIFT_TREE_FALL_MAGADI_ROAD,P3,moderate,dur_shift::tree_fall_magadi_road (affected=Layer4.5),active_alerts;retrain_triggers,P3 moderate alert on topic 'dur_shift::tree_fall_magadi_road' affecting Layer4.5. Corroborated by 2 source(s): active_alerts;retrain_triggers. Severity = base 0.65 x corroboration 1.30 x recency 0.53 = ASS 0.311. Priority justified by ASS band.,2026-06-20T01:47:21.593060+00:00
active_alerts::DUR_SHIFT_VEHICLE_BREAKDOWN_CBD_2,P3,moderate,dur_shift::vehicle_breakdown_cbd_2 (affected=Layer4.5),active_alerts;retrain_triggers,P3 moderate alert on topic 'dur_shift::vehicle_breakdown_cbd_2' affecting Layer4.5. Corroborated by 2 source(s): active_alerts;retrain_triggers. Severity = base 0.65 x corroboration 1.30 x recency 0.53 = ASS 0.311. Priority justified by ASS band.,2026-06-20T01:47:21.593060+00:00
active_alerts::DUR_SHIFT_WATER_LOGGING_OLD_AIRPORT_ROAD,P3,moderate,dur_shift::water_logging_old_airport_road (affected=Layer4.5),active_alerts;retrain_triggers,P3 moderate alert on topic 'dur_shift::water_logging_old_airport_road' affecting Layer4.5. Corroborated by 2 source(s): active_alerts;retrain_triggers. Severity = base 0.65 x corroboration 1.30 x recency 0.53 = ASS 0.311. Priority justified by ASS band.,2026-06-20T01:47:21.593060+00:00
active_alerts::DUR_SHIFT_WATER_LOGGING_OLD_MADRAS_ROAD,P3,moderate,dur_shift::water_logging_old_madras_road (affected=Layer4.5),active_alerts;retrain_triggers,P3 moderate alert on topic 'dur_shift::water_logging_old_madras_road' affecting Layer4.5. Corroborated by 2 source(s): active_alerts;retrain_triggers. Severity = base 0.65 x corroboration 1.30 x recency 0.53 = ASS 0.311. Priority justified by ASS band.,2026-06-20T01:47:21.593060+00:00
retrain_triggers::DUR_SHIFT_ACCIDENT_BELLARY_ROAD_2,P3,moderate,dur_shift::accident_bellary_road_2 (affected=Layer4.5),active_alerts;retrain_triggers,P3 moderate alert on topic 'dur_shift::accident_bellary_road_2' affecting Layer4.5. Corroborated by 2 source(s): active_alerts;retrain_triggers. Severity = base 0.65 x corroboration 1.30 x recency 0.53 = ASS 0.311. Priority justified by ASS band.,2026-06-20T01:47:21.593060+00:00
retrain_triggers::DUR_SHIFT_CONGESTION_HENNUR_MAIN_ROAD,P3,moderate,dur_shift::congestion_hennur_main_road (affected=Layer4.5),active_alerts;retrain_triggers,P3 moderate alert on topic 'dur_shift::congestion_hennur_main_road' affecting Layer4.5. Corroborated by 2 source(s): active_alerts;retrain_triggers. Severity = base 0.65 x corroboration 1.30 x recency 0.53 = ASS 0.311. Priority justified by ASS band.,2026-06-20T01:47:21.593060+00:00
retrain_triggers::DUR_SHIFT_CONSTRUCTION_BELLARY_ROAD_1,P3,moderate,dur_shift::construction_bellary_road_1 (affected=Layer4.5),active_alerts;retrain_triggers,P3 moderate alert on topic 'dur_shift::construction_bellary_road_1' affecting Layer4.5. Corroborated by 2 source(s): active_alerts;retrain_triggers. Severity = base 0.65 x corroboration 1.30 x recency 0.53 = ASS 0.311. Priority justified by ASS band.,2026-06-20T01:47:21.593060+00:00
retrain_triggers::DUR_SHIFT_CONSTRUCTION_ORR_WEST_1,P3,moderate,dur_shift::construction_orr_west_1 (affected=Layer4.5),active_alerts;retrain_triggers,P3 moderate alert on topic 'dur_shift::construction_orr_west_1' affecting Layer4.5. Corroborated by 2 source(s): active_alerts;retrain_triggers. Severity = base 0.65 x corroboration 1.30 x recency 0.53 = ASS 0.311. Priority justified by ASS band.,2026-06-20T01:47:21.593060+00:00
retrain_triggers::DUR_SHIFT_CONSTRUCTION_WEST_OF_CHORD_ROAD,P3,moderate,dur_shift::construction_west_of_chord_road (affected=Layer4.5),active_alerts;retrain_triggers,P3 moderate alert on topic 'dur_shift::construction_west_of_chord_road' affecting Layer4.5. Corroborated by 2 source(s): active_alerts;retrain_triggers. Severity = base 0.65 x corroboration 1.30 x recency 0.53 = ASS 0.311. Priority justified by ASS band.,2026-06-20T01:47:21.593060+00:00
retrain_triggers::DUR_SHIFT_OTHERS_ORR_NORTH_1,P3,moderate,dur_shift::others_orr_north_1 (affected=Layer4.5),active_alerts;retrain_triggers,P3 moderate alert on topic 'dur_shift::others_orr_north_1' affecting Layer4.5. Corroborated by 2 source(s): active_alerts;retrain_triggers. Severity = base 0.65 x corroboration 1.30 x recency 0.53 = ASS 0.311. Priority justified by ASS band.,2026-06-20T01:47:21.593060+00:00
retrain_triggers::DUR_SHIFT_POT_HOLES_OLD_MADRAS_ROAD,P3,moderate,dur_shift::pot_holes_old_madras_road (affected=Layer4.5),active_alerts;retrain_triggers,P3 moderate alert on topic 'dur_shift::pot_holes_old_madras_road' affecting Layer4.5. Corroborated by 2 source(s): active_alerts;retrain_triggers. Severity = base 0.65 x corroboration 1.30 x recency 0.53 = ASS 0.311. Priority justified by ASS band.,2026-06-20T01:47:21.593060+00:00
retrain_triggers::DUR_SHIFT_POT_HOLES_ORR_NORTH_1,P3,moderate,dur_shift::pot_holes_orr_north_1 (affected=Layer4.5),active_alerts;retrain_triggers,P3 moderate alert on topic 'dur_shift::pot_holes_orr_north_1' affecting Layer4.5. Corroborated by 2 source(s): active_alerts;retrain_triggers. Severity = base 0.65 x corroboration 1.30 x recency 0.53 = ASS 0.311. Priority justified by ASS band.,2026-06-20T01:47:21.593060+00:00
retrain_triggers::DUR_SHIFT_POT_HOLES_ORR_WEST_1,P3,moderate,dur_shift::pot_holes_orr_west_1 (affected=Layer4.5),active_alerts;retrain_triggers,P3 moderate alert on topic 'dur_shift::pot_holes_orr_west_1' affecting Layer4.5. Corroborated by 2 source(s): active_alerts;retrain_triggers. Severity = base 0.65 x corroboration 1.30 x recency 0.53 = ASS 0.311. Priority justified by ASS band.,2026-06-20T01:47:21.593060+00:00
retrain_triggers::DUR_SHIFT_PUBLIC_EVENT_MYSORE_ROAD,P3,moderate,dur_shift::public_event_mysore_road (affected=Layer4.5),active_alerts;retrain_triggers,P3 moderate alert on topic 'dur_shift::public_event_mysore_road' affecting Layer4.5. Corroborated by 2 source(s): active_alerts;retrain_triggers. Severity = base 0.65 x corroboration 1.30 x recency 0.53 = ASS 0.311. Priority justified by ASS band.,2026-06-20T01:47:21.593060+00:00
retrain_triggers::DUR_SHIFT_PUBLIC_EVENT_NON-CORRIDOR,P3,moderate,dur_shift::public_event_non-corridor (affected=Layer4.5),active_alerts;retrain_triggers,P3 moderate alert on topic 'dur_shift::public_event_non-corridor' affecting Layer4.5. Corroborated by 2 source(s): active_alerts;retrain_triggers. Severity = base 0.65 x corroboration 1.30 x recency 0.53 = ASS 0.311. Priority justified by ASS band.,2026-06-20T01:47:21.593060+00:00
retrain_triggers::DUR_SHIFT_ROAD_CONDITIONS_ORR_WEST_1,P3,moderate,dur_shift::road_conditions_orr_west_1 (affected=Layer4.5),active_alerts;retrain_triggers,P3 moderate alert on topic 'dur_shift::road_conditions_orr_west_1' affecting Layer4.5. Corroborated by 2 source(s): active_alerts;retrain_triggers. Severity = base 0.65 x corroboration 1.30 x recency 0.53 = ASS 0.311. Priority justified by ASS band.,2026-06-20T01:47:21.593060+00:00
retrain_triggers::DUR_SHIFT_TREE_FALL_MAGADI_ROAD,P3,moderate,dur_shift::tree_fall_magadi_road (affected=Layer4.5),active_alerts;retrain_triggers,P3 moderate alert on topic 'dur_shift::tree_fall_magadi_road' affecting Layer4.5. Corroborated by 2 source(s): active_alerts;retrain_triggers. Severity = base 0.65 x corroboration 1.30 x recency 0.53 = ASS 0.311. Priority justified by ASS band.,2026-06-20T01:47:21.593060+00:00
retrain_triggers::DUR_SHIFT_VEHICLE_BREAKDOWN_CBD_2,P3,moderate,dur_shift::vehicle_breakdown_cbd_2 (affected=Layer4.5),active_alerts;retrain_triggers,P3 moderate alert on topic 'dur_shift::vehicle_breakdown_cbd_2' affecting Layer4.5. Corroborated by 2 source(s): active_alerts;retrain_triggers. Severity = base 0.65 x corroboration 1.30 x recency 0.53 = ASS 0.311. Priority justified by ASS band.,2026-06-20T01:47:21.593060+00:00
retrain_triggers::DUR_SHIFT_WATER_LOGGING_OLD_AIRPORT_ROAD,P3,moderate,dur_shift::water_logging_old_airport_road (affected=Layer4.5),active_alerts;retrain_triggers,P3 moderate alert on topic 'dur_shift::water_logging_old_airport_road' affecting Layer4.5. Corroborated by 2 source(s): active_alerts;retrain_triggers. Severity = base 0.65 x corroboration 1.30 x recency 0.53 = ASS 0.311. Priority justified by ASS band.,2026-06-20T01:47:21.593060+00:00
retrain_triggers::DUR_SHIFT_WATER_LOGGING_OLD_MADRAS_ROAD,P3,moderate,dur_shift::water_logging_old_madras_road (affected=Layer4.5),active_alerts;retrain_triggers,P3 moderate alert on topic 'dur_shift::water_logging_old_madras_road' affecting Layer4.5. Corroborated by 2 source(s): active_alerts;retrain_triggers. Severity = base 0.65 x corroboration 1.30 x recency 0.53 = ASS 0.311. Priority justified by ASS band.,2026-06-20T01:47:21.593060+00:00
active_alerts::CALIB_BIN_1_SHIFT,P4,moderate,layer4.5::general (affected=Layer4.5),active_alerts,P4 moderate alert on topic 'layer4.5::general' affecting Layer4.5. Corroborated by 1 source(s): active_alerts. Severity = base 0.65 x corroboration 1.15 x recency 0.53 = ASS 0.275. Priority justified by ASS band.,2026-06-20T01:47:21.593060+00:00
active_alerts::CALIB_BIN_3_SHIFT,P4,moderate,layer4.5::general (affected=Layer4.5),active_alerts,P4 moderate alert on topic 'layer4.5::general' affecting Layer4.5. Corroborated by 1 source(s): active_alerts. Severity = base 0.65 x corroboration 1.15 x recency 0.53 = ASS 0.275. Priority justified by ASS band.,2026-06-20T01:47:21.593060+00:00
active_alerts::CALIB_BIN_6_SHIFT,P4,moderate,layer4.5::general (affected=Layer4.5),active_alerts,P4 moderate alert on topic 'layer4.5::general' affecting Layer4.5. Corroborated by 1 source(s): active_alerts. Severity = base 0.65 x corroboration 1.15 x recency 0.53 = ASS 0.275. Priority justified by ASS band.,2026-06-20T01:47:21.593060+00:00
active_alerts::CALIB_BIN_7_SHIFT,P4,moderate,layer4.5::general (affected=Layer4.5),active_alerts,P4 moderate alert on topic 'layer4.5::general' affecting Layer4.5. Corroborated by 1 source(s): active_alerts. Severity = base 0.65 x corroboration 1.15 x recency 0.53 = ASS 0.275. Priority justified by ASS band.,2026-06-20T01:47:21.593060+00:00
active_alerts::TRUST_DEGRADED_P32,P4,moderate,layer4::general (affected=Layer4),active_alerts,P4 moderate alert on topic 'layer4::general' affecting Layer4. Corroborated by 1 source(s): active_alerts. Severity = base 0.65 x corroboration 1.15 x recency 0.53 = ASS 0.275. Priority justified by ASS band.,2026-06-20T01:47:21.593060+00:00
active_alerts::TRUST_DEGRADED_P8,P4,moderate,layer4::general (affected=Layer4),active_alerts,P4 moderate alert on topic 'layer4::general' affecting Layer4. Corroborated by 1 source(s): active_alerts. Severity = base 0.65 x corroboration 1.15 x recency 0.53 = ASS 0.275. Priority justified by ASS band.,2026-06-20T01:47:21.593060+00:00
retrain_triggers::CALIB_BIN_1_SHIFT,P4,moderate,"layer4.5::bin_1 [0.1,0.2] (affected=Layer4.5)",retrain_triggers,"P4 moderate alert on topic 'layer4.5::bin_1 [0.1,0.2]' affecting Layer4.5. Corroborated by 1 source(s): retrain_triggers. Severity = base 0.65 x corroboration 1.15 x recency 0.53 = ASS 0.275. Priority justified by ASS band.",2026-06-20T01:47:21.593060+00:00
retrain_triggers::CALIB_BIN_3_SHIFT,P4,moderate,"layer4.5::bin_3 [0.3,0.4] (affected=Layer4.5)",retrain_triggers,"P4 moderate alert on topic 'layer4.5::bin_3 [0.3,0.4]' affecting Layer4.5. Corroborated by 1 source(s): retrain_triggers. Severity = base 0.65 x corroboration 1.15 x recency 0.53 = ASS 0.275. Priority justified by ASS band.",2026-06-20T01:47:21.593060+00:00
