alert_id,source,severity,affected_layer,description,generated_at
DUR_SHIFT_POT_HOLES_ORR_WEST_1,layer6_bayesian_duration,moderate,Layer4.5,Stratum 'pot_holes × ORR West 1': posterior_mu shifted -4.973 log-units (2.3 sigma). Prior fallback level: cause. Recommend updating Layer 4.5 duration priors for this stratum.,2026-06-18T23:39:58Z
DUR_SHIFT_PUBLIC_EVENT_MYSORE_ROAD,layer6_bayesian_duration,moderate,Layer4.5,Stratum 'public_event × Mysore Road': posterior_mu shifted -4.616 log-units (1.7 sigma). Prior fallback level: cause. Recommend updating Layer 4.5 duration priors for this stratum.,2026-06-18T23:39:58Z
DUR_SHIFT_VEHICLE_BREAKDOWN_CBD_2,layer6_bayesian_duration,moderate,Layer4.5,Stratum 'vehicle_breakdown × CBD 2': posterior_mu shifted -1.990 log-units (2.8 sigma). Prior fallback level: stratum. Recommend updating Layer 4.5 duration priors for this stratum.,2026-06-18T23:39:58Z
DUR_SHIFT_TREE_FALL_MAGADI_ROAD,layer6_bayesian_duration,moderate,Layer4.5,Stratum 'tree_fall × Magadi Road': posterior_mu shifted -4.120 log-units (1.7 sigma). Prior fallback level: cause. Recommend updating Layer 4.5 duration priors for this stratum.,2026-06-18T23:39:58Z
DUR_SHIFT_ROAD_CONDITIONS_ORR_WEST_1,layer6_bayesian_duration,moderate,Layer4.5,Stratum 'road_conditions × ORR West 1': posterior_mu shifted -5.343 log-units (2.8 sigma). Prior fallback level: stratum. Recommend updating Layer 4.5 duration priors for this stratum.,2026-06-18T23:39:58Z
DUR_SHIFT_WATER_LOGGING_OLD_AIRPORT_ROAD,layer6_bayesian_duration,moderate,Layer4.5,Stratum 'water_logging × Old Airport Road': posterior_mu shifted -4.635 log-units (2.3 sigma). Prior fallback level: cause. Recommend updating Layer 4.5 duration priors for this stratum.,2026-06-18T23:39:58Z
TRUST_DEGRADED_P8,layer6_adaptive_learning,moderate,Layer4,Prototype 8 (public_event / Non-corridor): trust degraded from 0.490 to 0.495. Review prototype representativeness; consider refreshing with recent events.,2026-06-18T23:39:58Z
TRUST_DEGRADED_P32,layer6_adaptive_learning,moderate,Layer4,Prototype 32 (public_event / Non-corridor): trust degraded from 0.490 to 0.495. Review prototype representativeness; consider refreshing with recent events.,2026-06-18T23:39:58Z
HEALTH_PSI_HOUR_LOCAL,layer6_model_health,warning,drift,Health metric 'psi_hour_local' is WARNING. Feedback value: 0.1526.,2026-06-18T23:39:58Z
HEALTH_MEAN_ABS_TRUST_DELTA,layer6_model_health,warning,prototype_trust,Health metric 'mean_abs_trust_delta' is WARNING. Feedback value: 0.001.,2026-06-18T23:39:58Z
